name,category,calories,protein,fat,carbs
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",Snack,242,27.3,13.9,0
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",Snack,248,27.1,14.6,0
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",Snack,194,19.6,12.3,0
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",Snack,1070,26.5,15.7,0
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",Snack,231,23.7,14.4,0
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",Snack,1060,24.3,16.7,0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",Snack,242,28.2,13.5,0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",Snack,209,25.6,11.1,0
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",Snack,966,27,12.8,0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",Snack,127,22,3.71,0
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",Snack,261,26.7,16.3,0
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",Snack,929,24.4,13,0
"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",Snack,1040,27,14.7,0
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",Snack,570,21.8,4.8,0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",Snack,234,28.8,12.3,0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",Snack,928,27,11.8,0
"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",Snack,961,26.6,12.9,0
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",Snack,129,21.6,4.02,0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",Snack,195,31,6.9,0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",Snack,155,21.6,6.94,0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",Snack,835,29.2,8.31,0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",Snack,820,26.6,9.14,0
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",Snack,192,26.4,8.82,0
"Pork, fresh, shoulder, whole, separable lean and fat, raw",Snack,236,17.2,18,0
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",Snack,292,23.3,21.4,0
"Pork, fresh, shoulder, whole, separable lean only, raw",Snack,148,19.6,7.14,0
"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",Snack,230,25.3,13.5,0
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",Snack,813,26.8,8.87,0
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",Snack,228,26.7,12.6,0
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",Snack,778,17.4,12.4,0
